Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,CO,ACOS5,a,ACOS5_a,,,,,subplot,-105.5906146,40.06123024,3461.588,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:41:40.8 UTC-06:00,2023-09-29 10:41:40.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,16.007,Global CS,
A,CO,ACOS5,b,ACOS5_a1,,,,,subplot,-105.5906176,40.06123457,3461.578,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:41:43.8 UTC-06:00,2023-09-29 10:41:43.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,15.97,Global CS,
A,CO,ACOS5,c,ACOS5_a2,,,,,subplot,-105.5906041,40.06123496,3461.405,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:41:47.0 UTC-06:00,2023-09-29 10:41:47.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,14.959,Global CS,
A,CO,ACOS5,d,ACOS5_a3,,,,,subplot,-105.5906071,40.06123861,3461.413,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:41:49.8 UTC-06:00,2023-09-29 10:41:49.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,14.962,Global CS,
A,CO,ACOS1,a,ACOS1_a,,,,,subplot,-105.5905644,40.06122623,3460.696,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:09.0 UTC-06:00,2023-09-29 10:42:09.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,12.807,Global CS,
A,CO,ACOS1,b,ACOS1_a1,,,,,subplot,-105.5905659,40.06123,3460.696,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:12.0 UTC-06:00,2023-09-29 10:42:12.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,12.612,Global CS,
A,CO,ACOS1,c,ACOS1_a2,,,,,subplot,-105.5905533,40.06123038,3460.473,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:42:14.6 UTC-06:00,2023-09-29 10:42:14.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,11.793,Global CS,
A,CO,ACOS1,d,ACOS1_a3,,,,,subplot,-105.5905555,40.06123433,3460.367,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:17.6 UTC-06:00,2023-09-29 10:42:17.6 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,11.593,Global CS,
A,CO,ACOS6,a,ACOS6_a,,,,,subplot,-105.5904748,40.06128351,3458.268,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:40.4 UTC-06:00,2023-09-29 10:42:40.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,2.77,Global CS,
A,CO,ACOS6,b,ACOS6_a1,,,,,subplot,-105.5904773,40.06128763,3458.25,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:43.0 UTC-06:00,2023-09-29 10:42:43.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,2.481,Global CS,
A,CO,ACOS6,c,ACOS6_a2,,,,,subplot,-105.5904643,40.0612882,3458.105,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:42:46.0 UTC-06:00,2023-09-29 10:42:46.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,1.988,Global CS,
A,CO,ACOS6,d,ACOS6_a3,,,,,subplot,-105.5904672,40.06129218,3458.107,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:42:49.6 UTC-06:00,2023-09-29 10:42:49.6 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,1.621,Global CS,
A,CO,ACOS2,a,ACOS2_a,,,,,subplot,-105.5904524,40.06128191,3457.97,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:43:03.8 UTC-06:00,2023-09-29 10:43:03.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,2.753,Global CS,
A,CO,ACOS2,b,ACOS2_a1,,,,,subplot,-105.5904553,40.06128581,3457.97,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:43:06.0 UTC-06:00,2023-09-29 10:43:06.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,2.272,Global CS,
A,CO,ACOS2,c,ACOS2_a2,,,,,subplot,-105.5904426,40.06128702,3457.798,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 10:43:09.0 UTC-06:00,2023-09-29 10:43:09.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,2.611,Global CS,
A,CO,ACOS2,d,ACOS2_a3,,,,,subplot,-105.5904459,40.06129034,3457.756,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:43:11.8 UTC-06:00,2023-09-29 10:43:11.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,2.148,Global CS,
